#taxon1	taxon2	branchsynmean	branchsynrelvar
Alouatta_palliata	Alouatta_palliata	0.0253366	0.305785
Ateles_geoffroyi	Ateles_geoffroyi	0.0229258	1.67109
Aotus_nancymaae	Saimiri_boliviensis	0.005212	0.229724
Aotus_nancymaae	Saguinus_imperator	0.00111207	0.225795
Aotus_nancymaae	Aotus_nancymaae	0.0253125	0.34455
Callithrix_jacchus	Saguinus_imperator	0.0123421	0.182729
Callithrix_jacchus	Callithrix_jacchus	0.0295053	2.03138
Saguinus_imperator	Saguinus_imperator	0.024053	0.359057
Cebus_capucinus	Saimiri_boliviensis	0.00463282	0.293997
Cebus_capucinus	Cebus_capucinus	0.0274241	0.661435
Saimiri_boliviensis	Saimiri_boliviensis	0.0330359	1.03399
Pithecia_pithecia	Pithecia_pithecia	0.0331779	0.579167
Cercocebus_atys	Nomascus_leucogenys	0.0209528	0.183583
Cercocebus_atys	Rhinopithecus_bieti	0.0224821	0.155567
Cercocebus_atys	Papio_anubis	0.0094885	0.196722
Cercocebus_atys	Mandrillus_leucophaeus	0.00195116	0.241227
Cercocebus_atys	Cercocebus_atys	0.00607783	0.839343
Mandrillus_leucophaeus	Mandrillus_leucophaeus	0.00599575	0.550584
Chlorocebus_sabaeus	Papio_anubis	0.00388758	11.1521
Chlorocebus_sabaeus	Macaca_fascicularis	0.000873819	0.425338
Chlorocebus_sabaeus	Chlorocebus_sabaeus	0.0186504	1.20347
Macaca_fascicularis	Macaca_fascicularis	0.00784437	1.72231
Papio_anubis	Papio_anubis	0.00788059	0.910824
Colobus_angolensis	Rhinopithecus_bieti	0.00676372	0.206689
Colobus_angolensis	Piliocolobus_tephrosceles	0.0027135	0.239123
Colobus_angolensis	Colobus_angolensis	0.0111626	0.66695
Piliocolobus_tephrosceles	Piliocolobus_tephrosceles	0.0112016	1.25625
Pygathrix_nemaeus	Rhinopithecus_bieti	0.0059021	0.205478
Pygathrix_nemaeus	Pygathrix_nemaeus	0.00708773	0.474019
Rhinopithecus_bieti	Rhinopithecus_bieti	0.0066295	0.450418
Gorilla_gorilla	Nomascus_leucogenys	0.0121817	0.579356
Gorilla_gorilla	Pongo_abelii	0.00439595	2.12703
Gorilla_gorilla	Pan_paniscus	0.011917	4.65593
Gorilla_gorilla	Gorilla_gorilla	0.0114089	2.9726
Homo_sapiens	Pan_paniscus	0.00249249	1.00015
Homo_sapiens	Homo_sapiens	0.00844779	3.3726
Pan_paniscus	Pan_paniscus	0.00657602	0.532212
Pongo_abelii	Pongo_abelii	0.0225146	2.64662
Nomascus_leucogenys	Nomascus_leucogenys	0.0253637	1.22133
Cheirogaleus_medius	Otolemur_garnettii	0.0356283	0.13649
Cheirogaleus_medius	Daubentonia_madagascariensis	0.0128361	0.202975
Cheirogaleus_medius	Lemur_catta	0.0331917	0.238022
Cheirogaleus_medius	Propithecus_coquereli	0.00415953	0.259747
Cheirogaleus_medius	Microcebus_murinus	0.0177843	0.264949
Cheirogaleus_medius	Cheirogaleus_medius	0.0311158	0.226956
Microcebus_murinus	Microcebus_murinus	0.0538504	1.55251
Propithecus_coquereli	Propithecus_coquereli	0.0433112	0.196399
Eulemur_flavifrons	Lemur_catta	0.0235788	0.361683
Eulemur_flavifrons	Eulemur_flavifrons	0.0273351	0.906313
Lemur_catta	Lemur_catta	0.0275012	0.293656
Daubentonia_madagascariensis	Daubentonia_madagascariensis	0.0533951	0.133461
Otolemur_garnettii	Otolemur_garnettii	0.142992	0.12758
Galeopterus_variegatus	Galeopterus_variegatus	0.122281	0.110478
