#taxon1	taxon2	branchsynmean	branchsynrelvar
Mirounga_leonina_E	Neomonachus_schauinslandi_E	0.00576669	0.115476
Mirounga_leonina_E	Mirounga_leonina_E	0.0100889	0.123674
Neomonachus_schauinslandi_E	Neomonachus_schauinslandi_E	0.00807834	0.120133
Lycaon_pictus_E	Vulpes_vulpes_E	0.0900034	0.136114
Lycaon_pictus_E	Lycaon_pictus_E	0.0125547	0.136204
Vulpes_vulpes_E	Vulpes_vulpes_E	0.0141294	0.129215
Crocuta_crocuta_E	Panthera_tigris_E	0.0467891	0.119612
Crocuta_crocuta_E	Paradoxurus_hermaphroditus_E	0.00808685	0.1215
Crocuta_crocuta_E	Suricata_suricatta_E	0.0191457	0.16273
Crocuta_crocuta_E	Crocuta_crocuta_E	0.0610818	0.10004
Cryptoprocta_ferox_E	Suricata_suricatta_E	0.0144921	0.127041
Cryptoprocta_ferox_E	Cryptoprocta_ferox_E	0.0343868	0.104414
Helogale_parvula_E	Suricata_suricatta_E	0.0430508	0.156481
Helogale_parvula_E	Mungos_mungo_E	0.00464901	0.118205
Helogale_parvula_E	Helogale_parvula_E	0.0192376	0.118952
Mungos_mungo_E	Mungos_mungo_E	0.0194296	0.116499
Suricata_suricatta_E	Suricata_suricatta_E	0.0244826	0.125843
Paradoxurus_hermaphroditus_E	Paradoxurus_hermaphroditus_E	0.0808472	0.153145
Acinonyx_jubatus_E	Panthera_tigris_E	0.0437782	0.0948509
Acinonyx_jubatus_E	Acinonyx_jubatus_E	0.0114553	0.102026
Panthera_tigris_E	Panthera_tigris_E	0.0117234	0.121071
Alouatta_palliata_E	Muscardinus_avellanarius_E	0.0229091	0.0999731
Alouatta_palliata_E	Galeopterus_variegatus_E	0.00586872	0.110185
Alouatta_palliata_E	Daubentonia_madagascariensis_E	0.0155593	0.104683
Alouatta_palliata_E	Hylobates_moloch_E	0.075241	0.0795882
Alouatta_palliata_E	Saimiri_boliviensis_E	0.036852	0.0969045
Alouatta_palliata_E	Alouatta_palliata_E	0.0333946	0.129132
Aotus_nancymaae_E	Saimiri_boliviensis_E	0.00626715	0.13329
Aotus_nancymaae_E	Saguinus_imperator_E	0.00112708	0.121642
Aotus_nancymaae_E	Aotus_nancymaae_E	0.0252926	0.116167
Callithrix_jacchus_E	Saguinus_imperator_E	0.0127249	0.107733
Callithrix_jacchus_E	Callithrix_jacchus_E	0.0233031	0.115994
Saguinus_imperator_E	Saguinus_imperator_E	0.0224607	0.111751
Cebus_imitator_E	Saimiri_boliviensis_E	0.00417597	0.11038
Cebus_imitator_E	Sapajus_apella_E	0.0198207	0.0968042
Cebus_imitator_E	Cebus_imitator_E	0.00712368	0.108353
Sapajus_apella_E	Sapajus_apella_E	0.00686792	0.113705
Saimiri_boliviensis_E	Saimiri_boliviensis_E	0.0310905	0.0973097
Cercocebus_atys_E	Hylobates_moloch_E	0.0208529	0.107912
Cercocebus_atys_E	Trachypithecus_francoisi_E	0.0216849	0.113117
Cercocebus_atys_E	Chlorocebus_sabeus_E	0.00559952	0.11187
Cercocebus_atys_E	Macaca_nemestrina_E	0.00369703	0.112311
Cercocebus_atys_E	Theropithecus_gelada_E	0.00146531	0.113386
Cercocebus_atys_E	Mandrillus_leucophaeus_E	0.0015035	0.2331
Cercocebus_atys_E	Cercocebus_atys_E	0.00522646	0.118863
Mandrillus_leucophaeus_E	Mandrillus_leucophaeus_E	0.00544396	0.117721
Papio_anubis_E	Theropithecus_gelada_E	0.00253561	0.131156
Papio_anubis_E	Papio_anubis_E	0.00364934	0.121199
Theropithecus_gelada_E	Theropithecus_gelada_E	0.00348949	0.123687
Macaca_nemestrina_E	Macaca_nemestrina_E	0.00734417	0.118655
Chlorocebus_sabeus_E	Chlorocebus_sabeus_E	0.0122344	0.113914
Colobus_angolensis_E	Trachypithecus_francoisi_E	0.00632568	0.110645
Colobus_angolensis_E	Colobus_angolensis_E	0.0126007	0.110949
Pygathrix_nemaeus_E	Trachypithecus_francoisi_E	0.00469383	0.116719
Pygathrix_nemaeus_E	Pygathrix_nemaeus_E	0.00721447	0.11452
Rhinopithecus_roxellana_E	Trachypithecus_francoisi_E	0.000393797	0.170992
Rhinopithecus_roxellana_E	Rhinopithecus_roxellana_E	0.00691224	0.109671
Trachypithecus_francoisi_E	Trachypithecus_francoisi_E	0.00894903	0.111559
Gorilla_gorilla_E	Hylobates_moloch_E	0.0115701	0.165423
Gorilla_gorilla_E	Pongo_abelii_E	0.00337315	0.111976
Gorilla_gorilla_E	Pan_troglodytes_E	0.00938479	0.117034
Gorilla_gorilla_E	Gorilla_gorilla_E	0.00856044	0.116067
Homo_sapiens_E	Pan_troglodytes_E	0.00198503	0.117866
Homo_sapiens_E	Homo_sapiens_E	0.00622024	0.109954
Pan_troglodytes_E	Pan_troglodytes_E	0.00603198	0.126031
Pongo_abelii_E	Pongo_abelii_E	0.0182061	0.0987443
Hylobates_moloch_E	Hylobates_moloch_E	0.0222661	0.124782
Cheirogaleus_medius_E	Daubentonia_madagascariensis_E	0.0452178	0.0854794
Cheirogaleus_medius_E	Prolemur_simus_E	0.0323117	0.133629
Cheirogaleus_medius_E	Mirza_zaza_E	0.0202387	0.139204
Cheirogaleus_medius_E	Cheirogaleus_medius_E	0.0307167	0.11972
Mirza_zaza_E	Mirza_zaza_E	0.0455161	0.207879
Lemur_catta_E	Prolemur_simus_E	0.0348088	0.128518
Lemur_catta_E	Lemur_catta_E	0.0135547	0.13161
Prolemur_simus_E	Prolemur_simus_E	0.0132946	0.119479
Daubentonia_madagascariensis_E	Daubentonia_madagascariensis_E	0.0554395	0.0937533
Galeopterus_variegatus_E	Galeopterus_variegatus_E	0.11995	0.0602615
Ochotona_princeps_E	Muscardinus_avellanarius_E	0.0164525	0.117185
Ochotona_princeps_E	Ochotona_princeps_E	0.353404	0.0948867
Acomys_cahirinus_E	Muscardinus_avellanarius_E	0.0268472	0.11042
Acomys_cahirinus_E	Ctenodactylus_gundi_E	0.00673093	0.122513
Acomys_cahirinus_E	Dipodomys_ordii_E	0.0256657	0.108508
Acomys_cahirinus_E	Rhizomys_pruinosus_E	0.084778	0.112611
Acomys_cahirinus_E	Cricetomys_gambianus_E	0.0931462	0.10339
Acomys_cahirinus_E	Sigmodon_hispidus_E	0.0129325	0.107061
Acomys_cahirinus_E	Mastomys_coucha_E	0.0193466	0.115829
Acomys_cahirinus_E	Psammomys_obesus_E	0.0210846	0.138775
Acomys_cahirinus_E	Acomys_cahirinus_E	0.127023	0.125305
Meriones_unguiculatus_E	Psammomys_obesus_E	0.0995488	0.170904
Meriones_unguiculatus_E	Meriones_unguiculatus_E	0.0261994	0.145963
Psammomys_obesus_E	Psammomys_obesus_E	0.022235	0.132136
Mastomys_coucha_E	Mastomys_coucha_E	0.140903	0.0912529
Microtus_agrestis_E	Sigmodon_hispidus_E	0.0302342	0.103928
Microtus_agrestis_E	Ondatra_zibethicus_E	0.0716632	0.126318
Microtus_agrestis_E	Myodes_glareolus_E	0.0118575	0.125756
Microtus_agrestis_E	Microtus_agrestis_E	0.0453373	0.117478
Myodes_glareolus_E	Myodes_glareolus_E	0.043972	0.12135
Ondatra_zibethicus_E	Ondatra_zibethicus_E	0.0359769	0.12397
Peromyscus_maniculatus_E	Sigmodon_hispidus_E	0.0091161	0.108167
Peromyscus_maniculatus_E	Peromyscus_maniculatus_E	0.101607	0.129529
Sigmodon_hispidus_E	Sigmodon_hispidus_E	0.118997	0.0879127
Cricetomys_gambianus_E	Cricetomys_gambianus_E	0.124523	0.114947
Nannospalax_galili_E	Rhizomys_pruinosus_E	0.0647413	0.0958975
Nannospalax_galili_E	Nannospalax_galili_E	0.0959774	0.0942888
Rhizomys_pruinosus_E	Rhizomys_pruinosus_E	0.119926	0.0826178
Dipodomys_ordii_E	Dipodomys_ordii_E	0.252236	0.12721
Cavia_tschudii_E	Ctenodactylus_gundi_E	0.0408078	0.184062
Cavia_tschudii_E	Hystrix_cristata_E	0.0752725	0.249402
Cavia_tschudii_E	Heterocephalus_glaber_E	0.0138678	0.102947
Cavia_tschudii_E	Dinomys_branickii_E	0.0280979	0.108831
Cavia_tschudii_E	Dasyprocta_punctata_E	0.0329918	0.121451
Cavia_tschudii_E	Hydrochoerus_hydrochaeris_E	0.0361916	0.129687
Cavia_tschudii_E	Cavia_tschudii_E	0.0734741	0.108879
Hydrochoerus_hydrochaeris_E	Hydrochoerus_hydrochaeris_E	0.061221	0.103796
Dasyprocta_punctata_E	Dasyprocta_punctata_E	0.0715728	0.115715
Dinomys_branickii_E	Dinomys_branickii_E	0.127698	0.11384
Fukomys_damarensis_E	Heterocephalus_glaber_E	0.0366609	0.114585
Fukomys_damarensis_E	Fukomys_damarensis_E	0.0901355	0.100528
Heterocephalus_glaber_E	Heterocephalus_glaber_E	0.07042	0.125657
Hystrix_cristata_E	Hystrix_cristata_E	0.114915	0.0957072
Ctenodactylus_gundi_E	Ctenodactylus_gundi_E	0.233643	0.114861
Aplodontia_rufa_E	Muscardinus_avellanarius_E	0.0183776	0.102146
Aplodontia_rufa_E	Xerus_inauris_E	0.0510405	0.121765
Aplodontia_rufa_E	Aplodontia_rufa_E	0.109879	0.0904534
Cynomys_gunnisoni_E	Xerus_inauris_E	0.0364446	0.0948829
Cynomys_gunnisoni_E	Marmota_himalayana_E	0.0581036	0.099948
Cynomys_gunnisoni_E	Spermophilus_dauricus_E	0.00735606	0.117192
Cynomys_gunnisoni_E	Urocitellus_parryii_E	0.0014993	0.124438
Cynomys_gunnisoni_E	Ictidomys_tridecemlineatus_E	0.00226193	0.117669
Cynomys_gunnisoni_E	Cynomys_gunnisoni_E	0.0099864	0.115774
Ictidomys_tridecemlineatus_E	Ictidomys_tridecemlineatus_E	0.0117682	0.119972
Urocitellus_parryii_E	Urocitellus_parryii_E	0.010698	0.128886
Spermophilus_dauricus_E	Spermophilus_dauricus_E	0.0126163	0.132937
Marmota_himalayana_E	Marmota_himalayana_E	0.0145669	0.111672
Xerus_inauris_E	Xerus_inauris_E	0.0664303	0.0966069
Muscardinus_avellanarius_E	Muscardinus_avellanarius_E	0.219619	0.119455
