SPECIES_BINOMIAL,GENUS,SPECIES,FAMILY,IUCN_STATUS,THREATENED_STATUS,GEOGRAPHIC_REGION,MEDIAN_N_HET,MEDIAN_CALLABLE,MEDIAN_nRoH_1mb,MEDIAN_sRoH_1mb,MEDIAN_fRoH_1mb,MEDIAN_COVERAGE,REFERENCE_LENGTH,MEDIAN_HETEROZYGOSITY,GENERATION_LENGTH,MU_PER_GENERATION,MU_PER_YEAR,EFFECTIVE_POP_SIZE,CombinedTestesMass.in.g,BrainSizeSpeciesMean,Body.MassMaleMean,BodyMassFemaleMean,MassDimorphism,CanineDimorphism,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,InterbirthInterval_days,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,HomeRange_km2,DayLength_km,Territoriality,Fruit,Leaves,Fauna,Feed,Move,Rest,Social,Mating.System,SocialSystem,NatalDispersal
Saimiri_ustus,Saimiri,ustus,Cebidae,NT,Unthreatened,AMERICAS,1804047,2073879438,40,66200000,0.023030555,27.63,2874442237,0.000871765,8,4.46E-09,5.58E-10,48866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus_apella,Sapajus,apella,Cebidae,LC,Unthreatened,AMERICAS,3980626,2422512618,119,259800000,0.093979136,29.48,2764443388,0.001643793,15,1.41E-08,9.40E-10,29145,9.1,66.63,3382.8,2489.1,1359,1.455,12.9,3.6,4.9,1.36,657,158,263.12,541.2,1.05,-10.77,1541.9,24.1,1291.8,1516.9,0.88,2.1,1.9839,52,10,20,52.7,NA,NA,9.9,Polygynandry,Polygynandry,Sexbiased
Sapajus_macrocephalus,Sapajus,macrocephalus,Cebidae,DD,DD,AMERICAS,3770624.5,2421765141,62,138800000,0.050209022,29.865,2764443388,0.001581607,15,4.24E-09,2.83E-10,93255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semnopithecus_entellus,Semnopithecus,entellus,Cercopithecidae,LC,Unthreatened,ASIA,2191733,2449510983,103,202600000,0.066678503,26.72,3038460517,0.000891067,10,5.56E-09,5.56E-10,40066,11.1,110.93,18144,11340,1600,2.058,30.2,1.8,11.5,6.39,507.95,192,402.1,300,1.02,23.49,788.2,25.4,652.8,1435.8,1.3,0.5,0.3886,52,51,2,25.7,13.1,41.8,7.4,Harem_Polygyny,Polygynandry,Bisexual
Semnopithecus_hypoleucos,Semnopithecus,hypoleucos,Cercopithecidae,LC,Unthreatened,ASIA,4608306.5,2448578990,125,276700000,0.091065853,36.035,3038460517,0.001880112,11,4.86E-09,4.42E-10,96714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semnopithecus_johnii,Semnopithecus,johnii,Cercopithecidae,VU,Threatened,ASIA,4780241,2457222618,76.5,435700000,0.143394985,27.375,3038460517,0.001945373,12,5.14E-09,4.28E-10,94619,NA,84.6,12000,11200,1071,NA,NA,1.3,3.1,2.38,NA,NA,NA,408,1.02,10.75,1280.4,25.7,1126.2,1577.6,0.08,NA,NA,25,52,NA,NA,NA,NA,NA,Harem_Polygyny,Polygynandry,Bisexual
Semnopithecus_priam,Semnopithecus,priam,Cercopithecidae,NT,Unthreatened,ASIA,4490031,2443371410,115,441600000,0.145336758,26.59,3038460517,0.001837638,12,5.67E-09,4.73E-10,81025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semnopithecus_schistaceus,Semnopithecus,schistaceus,Cercopithecidae,LC,Unthreatened,ASIA,1392905.5,2434854087,379,783400000,0.257827935,30.14,3038460517,0.000571548,12,6.30E-09,5.25E-10,22680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semnopithecus_vetulus,Semnopithecus,vetulus,Cercopithecidae,EN,Threatened,ASIA,5744594,2454109498,50,89000000,0.029291149,26.52,3038460517,0.002340806,12,4.67E-09,3.89E-10,125311,NA,61.29,7371,5103,1444,1.791,7.9,1,3.8,3.8,783.83,211,245.78,276,1.01,8.03,1434.1,25.8,1544.4,1644.5,0.02,NA,NA,28,60,NA,NA,NA,NA,NA,Harem_Polygyny,Polygyny,NA
Theropithecus_gelada,Theropithecus,gelada,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,1233995,2548735444,256,960400000,0.332362715,29.03,2889614139,0.00048416,12,4.39E-09,3.66E-10,27572,19.3,133.33,19000,11700,1624,3.229,10,1.5,4.1,2.73,766.5,168,494.95,336,1.01,10.95,924.9,17.3,900.3,1483.3,1.16,2.5,2.0571,26,94,0,47.7,17.5,15.1,18.3,Harem_Polygyny,Polygynandry,Sexbiased
Trachypithecus_auratus,Trachypithecus,auratus,Cercopithecidae,VU,Threatened,ASIA,2687478,2456374200,44,296000000,0.097417754,25.96,3038460517,0.001094083,12,9.16E-09,7.63E-10,29860,NA,NA,NA,NA,NA,NA,14.5,1.2,7.4,6.17,NA,NA,NA,373.2,NA,-7.41,2012,24.4,1370.4,1640.8,0.03,NA,NA,32.3,47,NA,25.5,15,50.5,2.5,NA,Polygyny,Bisexual
